iban,account_value,account_live,currency
MC64 3567 4199 17TK OLN7 1E6N W93,418.14,true,Yuan Renminbi
PT41 9037 7142 4379 2288 5734 5,456.62,false,Rupiah
ME58 1957 9519 7047 5469 34,242.74,true,Euro
IT43 E293 8594 766Q CRRG XEHE GXO,818.87,false,Franc
GL86 2499 0483 8929 81,934.14,false,Peso
ME33 5968 9577 7715 4688 32,569.1,true,Yuan Renminbi
MT32 AFXS 1136 4GTV 5CMA 57ES EQH8 SOU,22.25,true,Rupiah
GB18 SEHJ 0538 3636 0507 29,42.86,false,Rial
LT93 6247 4491 6582 6081,417.76,true,Yuan Renminbi
CH61 0093 3MAR M0HD CQWQ P,23.33,true,Dollar
AL96 2103 3713 6XKC B4OG SFO1 BFCM,492.74,false,Peso
FR05 5476 4522 60SO X7JU NRLA Q82,296.45,true,Rupiah
MK74 550Q QR33 43JV B11,194.86,false,Yuan Renminbi
GT61 WXYC GY8Z W1W2 QRR1 ZNBB BKEY,545.27,false,Yuan Renminbi
AZ22 ZIJJ SZQC 6S6R D7BJ XCE0 PENP,701.86,true,Yuan Renminbi
SE38 0595 0373 1699 0565 9877,908.43,false,Sol
FR82 1630 7911 24LN QLHO JCHZ X43,805.91,true,Koruna
EE92 9538 1070 6507 2638,344.54,false,Yuan Renminbi
PT57 9780 6387 3818 0361 1110 4,173.78,true,Krona
KW48 ULDG EPM8 N1T8 KAEF WD9R WS3G OA,535.72,false,Rial
AZ64 ZVDP OL2I CVKQ 6WCO UJN0 NA70,478.14,true,Peso
GT53 RRZN FQMJ BE7Y RZSM JPJ5 ZTRC,900.86,false,Lek
IT60 K834 5051 139V XHGB I4FK VLW,738.92,true,Yuan Renminbi
IE84 PLGE 0826 1955 7213 26,827.13,true,Dollar
FR29 4570 5771 23ZC KXPK ODGK F72,9.38,false,Dirham
GT18 LPKD LHP7 GNQY RO1O S44D BJLJ,662.66,true,Yuan Renminbi
TR24 0233 7SIB 5XDR 7MAB SOYX JA,237.15,false,Forint
FR69 4453 8112 18GY ZGC5 3FRK T99,262.4,true,Euro
GT65 WBEP IZHO TTPK ZYCV BWJ1 IGRF,177.41,false,Euro
BR30 8913 3823 3250 1718 0952 575N U,836.84,false,Kwacha
LI13 0395 144K UFR7 2WGK J,957.84,true,Yuan Renminbi
GR69 8967 082A LLUS X6SZ DBDB C3Q,606.72,false,Birr
AL73 1255 3465 UCII XRKK Y9VR ZTFT,292.51,true,Rupiah
FR23 0852 1920 80KG YZJ6 FVII Y51,575.09,false,Bolivar
SI96 3788 0567 2659 360,13.87,true,Ruble
TN04 5771 2001 0871 8576 1556,650.59,true,Krone
PT66 3287 7083 1257 0028 2943 6,112.1,false,Yuan Renminbi
IL98 6772 2448 6575 3914 325,207.24,true,Dinar
GT92 O4WN FPDD QBLI CPRJ WXD1 LSCE,62.06,false,Hryvnia
GI63 ISQU P8ZU LZAX W2CO SKA,580.32,true,Real
SM42 N266 7796 855W DHNB XMDH 0SG,654.26,true,Forint
GT65 QJMK ZARL 1KRZ 5YLZ JH1J MOIU,322.64,false,Euro
FR96 8934 8068 59NK NY78 RNZH Y96,815.98,true,Euro
GI94 BOPI FO4A EWY3 LUF8 02Q,540.0,true,Metical
LB64 2563 WYCT 7QDJ J1HZ B5AE BSNE,426.23,true,Yuan Renminbi
GB46 UZBM 1372 2231 5687 10,964.04,true,Rupiah
GT95 X90F QXLR WQT3 CG96 5UX0 PEEH,97.59,true,Baht
AZ68 UXEA MRPP CDM7 KUSJ XNL9 0ZUE,651.85,true,Yuan Renminbi
LB58 8090 0TXY ZBTV 6EKN NPOW EBM6,798.73,true,Yuan Renminbi
GR16 0942 487U U5FC KB4B IQ3N NR6,210.03,true,Lek
GB67 GLBW 5972 3417 1365 93,853.36,false,Yuan Renminbi
MK94 345D IPFH JSTU V89,80.49,true,Som
AD52 5088 9194 X5OH DPXI FO9Z,803.49,true,Yuan Renminbi
IE05 YFEE 4250 5448 8759 19,125.87,true,Peso
BR37 7369 0949 8257 0750 8430 620H A,739.28,true,Yuan Renminbi
KZ76 034A PPRY V9EI 6WCR,730.19,false,Koruna
VG04 BRVE 4738 7153 3515 2104,916.82,true,Rupiah
IS06 7503 4312 5074 1956 8073 87,27.27,true,Zloty
FR26 2351 4782 21TB ZL2D IXEB Z33,171.65,false,Yuan Renminbi
LI26 4731 9YG2 UHM0 IX9L M,635.8,false,Peso
FR79 8667 9167 12SV XNEW ASYM Y05,591.42,true,Real
FR16 6520 0893 85MY OK3V TSDE A97,391.82,false,Koruna
DE34 7893 4607 5617 2636 42,153.24,false,Dong
AT16 0326 5678 9312 9012,914.01,false,Franc
HU08 0399 9320 4416 9618 4632 5202,374.65,true,Euro
AZ41 MEYQ WWVY XXDV 8UKB 89T0 X3MH,853.73,false,Zloty
BA60 6101 3416 5262 3056,21.36,true,Zloty
FO42 9188 9002 0875 82,840.11,false,Euro
VG36 HLXC 2425 4344 0309 4904,318.09,false,Sol
SA49 76LY MB3U 8M9R V8AB YAQV,892.92,true,Peso
SE62 0952 8224 2252 0087 3865,626.7,false,Peso
FR06 7098 4153 97XZ 2VH7 CLZG 692,101.82,false,Krone
PK58 VMHS D5HM NP3N OIN7 MMXD,121.77,false,Rupiah
FR80 6241 5885 94Q5 JSOP XVRS O82,655.49,false,Kyat
FR93 7374 0183 282T H4QD EP5P U41,370.63,true,Peso
NL46 LDNN 7848 4569 72,259.73,false,Krone
MU43 AINI 6424 4075 9850 8156 452P JJ,22.28,true,Koruna
FR97 7235 1096 771X Y9AX GBF0 779,365.64,true,Rupiah
FR97 5616 3675 76UJ NLLF RBDT 016,183.99,true,Krona
CR40 8639 1458 2633 8775 8,890.72,true,Dollar
MR86 6980 5185 2834 1142 5386 400,372.26,false,Zloty
MR76 6323 1970 8835 2958 9330 063,845.1,true,Naira
FR88 6380 3661 33ZK CFQQ W7Q5 S91,332.36,true,Yuan Renminbi
FR12 9023 2730 126O YX6X O7X6 676,633.84,true,Yuan Renminbi
GE95 KR51 1116 8210 6642 13,174.88,false,Krona
IS02 3199 0317 6015 4662 3773 90,338.81,false,Rial
SE21 1808 0660 1157 8654 7061,444.51,false,Dollar
LV04 UHLS MKQK FH1K GPUF O,244.46,true,Euro
DE49 2592 0670 0096 3265 18,592.03,true,Yuan Renminbi
FR82 4153 7228 82JJ V8IZ AD3K D70,283.13,true,Dinar
EE69 4465 4458 3189 7189,108.8,true,Euro
CY67 2780 3914 CFEH YS4F QFAF H6M9,196.09,true,Rupiah
